"company_name","job_title","job_title_short","job_location","job_schedule_type","salary_year_avg"
"DENSO","Application and Research Engineer for Semiconductor (m/f/d)","Data Engineer","Wegberg, Germany","Full-time","200000.0"
"Bosch Group","Research Engineer - Laser Material Processing (f/m/div.)","Data Engineer","Renningen, Germany","Full-time","200000.0"
"Bosch Group","Research Engineer Power Electronics (f/m/div.)","Data Engineer","Renningen, Germany","Full-time","200000.0"
"Bosch Group","Research Engineer Bio-MEMS Sensors (f/m/div.)","Data Engineer","Renningen, Germany","Full-time","199675.0"
"Bosch Group","Data Architect and Archiving Consultant  (f/m/div.)","Data Engineer","Wernau, Germany","Full-time","165000.0"
"TeamViewer","(Senior) Analytics Engineer / Data Engineer (all genders)","Data Engineer","Göppingen, Germany","Full-time","163500.0"
"Nets","Data Engineer - Data & Insights – German Speaking","Data Engineer","Eschborn, Germany","Full-time","147500.0"
"Bosch Group","Data Engineer – Analytics (f/m/div.) for Solid Oxide Fuel Cells (SOFC)","Data Engineer","Stuttgart, Germany","Full-time","147500.0"
"Veeva Systems","Data Engineer - Veeva Link","Data Engineer","Berlin, Germany","Full-time","147500.0"
"Adevinta","Data Engineer Hub & Accounts Team (d/f/m)","Data Engineer","Berlin, Germany","Full-time","147500.0"
